"URXAAM.Code.or.Value","URXAAM.Value.Description","URXAAM.Count","URXAAM.Cumulative","URXAAM.Skip.to.Item"
"1.56 to 1640","Range of Values",3015,3015,NA
".","Missing",264,3279,NA
