"ENQ100.Code.or.Value","ENQ100.Value.Description","ENQ100.Count","ENQ100.Cumulative","ENQ100.Skip.to.Item"
"1","Yes",1467,1467,NA
"2","No",5702,7169,NA
"7","Refused",0,7169,NA
"9","Don't know",7,7176,NA
".","Missing",1019,8195,NA
