"DR1IP226.Code.or.Value","DR1IP226.Value.Description","DR1IP226.Count","DR1IP226.Cumulative","DR1IP226.Skip.to.Item"
"0 to 6.378","Range of Values",145826,145826,NA
".","Missing",1114,146940,NA
