"DRD370A.Code.or.Value","DRD370A.Value.Description","DRD370A.Count","DRD370A.Cumulative","DRD370A.Skip.to.Item"
"1","Yes",962,962,""
"2","No",4609,5571,"DRD370B"
".","Missing",4379,9950,""
