"OSD030ac.Code.or.Value","OSD030ac.Value.Description","OSD030ac.Count","OSD030ac.Cumulative","OSD030ac.Skip.to.Item"
"73","73",1,1,NA
"80","80 or older",0,1,NA
"77777","Refused",0,1,NA
"99999","Don't know",0,1,NA
".","Missing",5934,5935,NA
