"DR2TS160.Code.or.Value","DR2TS160.Value.Description","DR2TS160.Count","DR2TS160.Cumulative","DR2TS160.Skip.to.Item"
"0 to 76.688","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
