"BAQ120.Code.or.Value","BAQ120.Value.Description","BAQ120.Count","BAQ120.Cumulative","BAQ120.Skip.to.Item"
"1","Yes",16,16,NA
"2","No",2634,2650,NA
".","Missing",436,3086,NA
