"FSD151.Code.or.Value","FSD151.Value.Description","FSD151.Count","FSD151.Cumulative","FSD151.Skip.to.Item"
"1","Yes",1274,1274,NA
"2","No",8345,9619,NA
"7","Refused",21,9640,NA
"9","Don't know",9,9649,NA
".","Missing",322,9971,NA
