"WTSMSMPA.Code.or.Value","WTSMSMPA.Value.Description","WTSMSMPA.Count","WTSMSMPA.Cumulative","WTSMSMPA.Skip.to.Item"
"59702.062036 to 3228037.3031","Range of Values",247,247,NA
".","Missing",0,247,NA
