"LBCPDE.Code.or.Value","LBCPDE.Value.Description","LBCPDE.Count","LBCPDE.Cumulative","LBCPDE.Skip.to.Item"
"131.9 to 54740","Range of Values",299,299,NA
".","Missing",2,301,NA
