"AUXLR171.Code.or.Value","AUXLR171.Value.Description","AUXLR171.Count","AUXLR171.Cumulative","AUXLR171.Skip.to.Item"
"-6 to 55","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
