"DXXIMX.Code.or.Value","DXXIMX.Value.Description","DXXIMX.Count","DXXIMX.Cumulative","DXXIMX.Skip.to.Item"
"314.8 to 951.2","Range of Values",3295,3295,NA
".","Missing",413,3708,NA
