"DSQTMAGN.Code.or.Value","DSQTMAGN.Value.Description","DSQTMAGN.Count","DSQTMAGN.Cumulative","DSQTMAGN.Skip.to.Item"
"0 to 2000","Range of Values",2257,2257,NA
".","Missing",7892,10149,NA
