"WTSCI43.Code.or.Value","WTSCI43.Value.Description","WTSCI43.Count","WTSCI43.Cumulative","WTSCI43.Skip.to.Item"
"0 to 456821.45197","Range of Values",727,727,NA
".","Missing",51,778,NA
