"URDP25LC.Code.or.Value","URDP25LC.Value.Description","URDP25LC.Count","URDP25LC.Cumulative","URDP25LC.Skip.to.Item"
"0","At or above the detection limit",2358,2358,NA
"1","Below lower detection limit",7,2365,NA
".","Missing",97,2462,NA
