"LBDTFRSI.Code.or.Value","LBDTFRSI.Value.Description","LBDTFRSI.Count","LBDTFRSI.Cumulative","LBDTFRSI.Skip.to.Item"
"11.9 to 487","Range of Values",6567,6567,NA
".","Missing",765,7332,NA
