"LBD183LC.Code.or.Value","LBD183LC.Value.Description","LBD183LC.Count","LBD183LC.Cumulative","LBD183LC.Skip.to.Item"
"0","detectable result",259,259,NA
"1","below detectable limit",1669,1928,NA
".","Missing",346,2274,NA
