"URDMB1LC.Code.or.Value","URDMB1LC.Value.Description","URDMB1LC.Count","URDMB1LC.Cumulative","URDMB1LC.Skip.to.Item"
"0","At or above the detection limit",24,24,NA
"1","Below lower detection limit",2442,2466,NA
".","Missing",85,2551,NA
