"LBXV08N.Code.or.Value","LBXV08N.Value.Description","LBXV08N.Count","LBXV08N.Cumulative","LBXV08N.Skip.to.Item"
"0.0707 to 0.865","Range of Values",3110,3110,NA
".","Missing",337,3447,NA
