"LBCF03LA.Code.or.Value","LBCF03LA.Value.Description","LBCF03LA.Count","LBCF03LA.Cumulative","LBCF03LA.Skip.to.Item"
"0.27 to 14.1","Range of Values",247,247,NA
".","Missing",17,264,NA
