"TYXP043.Code.or.Value","TYXP043.Value.Description","TYXP043.Count","TYXP043.Cumulative","TYXP043.Skip.to.Item"
"-43 to 193","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
