"AUXRR173.Code.or.Value","AUXRR173.Value.Description","AUXRR173.Count","AUXRR173.Cumulative","AUXRR173.Skip.to.Item"
"-2 to 47","Range of Values",1139,1139,NA
".","Missing",71,1210,NA
