"DR1DAY.Code.or.Value","DR1DAY.Value.Description","DR1DAY.Count","DR1DAY.Cumulative","DR1DAY.Skip.to.Item"
"1","Sunday",1235,1235,NA
"2","Monday",689,1924,NA
"3","Tuesday",673,2597,NA
"4","Wednesday",656,3253,NA
"5","Thursday",750,4003,NA
"6","Friday",2004,6007,NA
"7","Saturday",1721,7728,NA
".","Missing",976,8704,NA
