"SSK_FLCX.Code.or.Value","SSK_FLCX.Value.Description","SSK_FLCX.Count","SSK_FLCX.Cumulative","SSK_FLCX.Skip.to.Item"
"<0.534","<0.534",1,1,NA
"< blank >","Missing",2088,2089,NA
