"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1711,1711,NA
"1","Below lower detection limit",218,1929,NA
".","Missing",204,2133,NA
