"VIXPLS.Code.or.Value","VIXPLS.Value.Description","VIXPLS.Count","VIXPLS.Cumulative","VIXPLS.Skip.to.Item"
"-14 to 8","Range of Values",1988,1988,NA
"88","Could not obtain",70,2058,NA
".","Missing",4932,6990,NA
