"SPXBFEV7.Code.or.Value","SPXBFEV7.Value.Description","SPXBFEV7.Count","SPXBFEV7.Cumulative","SPXBFEV7.Skip.to.Item"
"719 to 4899","Range of Values",496,496,NA
".","Missing",7699,8195,NA
