"AUDTYR55.Code.or.Value","AUDTYR55.Value.Description","AUDTYR55.Count","AUDTYR55.Cumulative","AUDTYR55.Skip.to.Item"
"0 to 3.72","Range of Values",1682,1682,NA
".","Missing",125,1807,NA
