"BIXS115K.Code.or.Value","BIXS115K.Value.Description","BIXS115K.Count","BIXS115K.Cumulative","BIXS115K.Skip.to.Item"
"154.17 to 890.97","Range of Values",4269,4269,NA
".","Missing",1042,5311,NA
