"CVDS1SY.Code.or.Value","CVDS1SY.Value.Description","CVDS1SY.Count","CVDS1SY.Cumulative","CVDS1SY.Skip.to.Item"
"69 to 257","Range of Values",2670,2670,NA
".","Missing",1993,4663,NA
