"URXUAS5.Code.or.Value","URXUAS5.Value.Description","URXUAS5.Count","URXUAS5.Cumulative","URXUAS5.Skip.to.Item"
"0.56 to 4.54","Range of Values",2388,2388,NA
".","Missing",74,2462,NA
