"HOQ080.Code.or.Value","HOQ080.Value.Description","HOQ080.Count","HOQ080.Cumulative","HOQ080.Skip.to.Item"
"1","Yes",2226,2226,NA
"2","No",7726,9952,NA
"7","Refused",2,9954,NA
"9","Don't know",35,9989,NA
".","Missing",133,10122,NA
