"SMQ770.Code.or.Value","SMQ770.Value.Description","SMQ770.Count","SMQ770.Cumulative","SMQ770.Skip.to.Item"
"1 to 5","Range of Values",121,121,NA
"7","Refused",0,121,NA
"9","Don't know",1,122,NA
".","Missing",6868,6990,NA
