"OPXSF1.Code.or.Value","OPXSF1.Value.Description","OPXSF1.Count","OPXSF1.Cumulative","OPXSF1.Skip.to.Item"
"0","Absent",103,103,NA
"2","Present",2401,2504,NA
".","Missing",430,2934,NA
