"DRXTPOTA.Code.or.Value","DRXTPOTA.Value.Description","DRXTPOTA.Count","DRXTPOTA.Cumulative","DRXTPOTA.Skip.to.Item"
"0 to 13819.18","Range of Values",8725,8725,NA
".","Missing",557,9282,NA
