"URDP07LC.Code.or.Value","URDP07LC.Value.Description","URDP07LC.Count","URDP07LC.Cumulative","URDP07LC.Skip.to.Item"
"0","At or above the detection limit",2402,2402,NA
"1","Below lower detection limit",8,2410,NA
".","Missing",228,2638,NA
