"DS1TCHL.Code.or.Value","DS1TCHL.Value.Description","DS1TCHL.Count","DS1TCHL.Cumulative","DS1TCHL.Skip.to.Item"
"0.003 to 1000","Range of Values",376,376,NA
".","Missing",9168,9544,NA
