"DRQSDIET.Code.or.Value","DRQSDIET.Value.Description","DRQSDIET.Count","DRQSDIET.Cumulative","DRQSDIET.Skip.to.Item"
"1","Yes",1033,1033,""
"2","No",7704,8737,"DR1TNUMF"
"9","Don't know",46,8783,"DR1TNUMF"
".","Missing",1030,9813,""
