"MCQ260ED.Code.or.Value","MCQ260ED.Value.Description","MCQ260ED.Count","MCQ260ED.Cumulative","MCQ260ED.Skip.to.Item"
"4","Mother's father",8,8,"MCQ250F"
".","Missing",10462,10470,""
