"MCQ260FF.Code.or.Value","MCQ260FF.Value.Description","MCQ260FF.Count","MCQ260FF.Cumulative","MCQ260FF.Skip.to.Item"
"6","Father's father",63,63,"MCQ250G"
".","Missing",9582,9645,""
