"VTQ265B.Code.or.Value","VTQ265B.Value.Description","VTQ265B.Count","VTQ265B.Cumulative","VTQ265B.Skip.to.Item"
"1 to 48","Range of Values",784,784,NA
".","Missing",2663,3447,NA
