"DSQIZINC.Code.or.Value","DSQIZINC.Value.Description","DSQIZINC.Count","DSQIZINC.Cumulative","DSQIZINC.Skip.to.Item"
"0.01938 to 1250","Range of Values",2518,2518,NA
".","Missing",5767,8285,NA
