"MCQ240S.Code.or.Value","MCQ240S.Value.Description","MCQ240S.Count","MCQ240S.Cumulative","MCQ240S.Skip.to.Item"
"18 to 79","Range of Values",22,22,NA
"80","80 years or older",0,22,NA
"77777","Refused",0,22,NA
"99999","Don't know",0,22,NA
".","Missing",9644,9666,NA
