"AUDTYR81.Code.or.Value","AUDTYR81.Value.Description","AUDTYR81.Count","AUDTYR81.Cumulative","AUDTYR81.Skip.to.Item"
"0 to 0.47","Range of Values",2160,2160,NA
".","Missing",208,2368,NA
