"DXXPT32X.Code.or.Value","DXXPT32X.Value.Description","DXXPT32X.Count","DXXPT32X.Cumulative","DXXPT32X.Skip.to.Item"
"43.8 to 499","Range of Values",2992,2992,NA
".","Missing",716,3708,NA
