"DR1IFDCD.Code.or.Value","DR1IFDCD.Value.Description","DR1IFDCD.Count","DR1IFDCD.Cumulative","DR1IFDCD.Skip.to.Item"
"11000000 to 94210200","Range of Values",145703,145703,NA
".","Missing",0,145703,NA
