"SSGAM.Code.or.Value","SSGAM.Value.Description","SSGAM.Count","SSGAM.Cumulative","SSGAM.Skip.to.Item"
"0.3 to 3.47","Range of Values",170,170,NA
".","Missing",1871,2041,NA
