"SAMPLEID.Code.or.Value","SAMPLEID.Value.Description","SAMPLEID.Count","SAMPLEID.Cumulative","SAMPLEID.Skip.to.Item"
"1 to 251","Range of Values",1910,1910,NA
".","Missing",234,2144,NA
