"OHQ560G.Code.or.Value","OHQ560G.Value.Description","OHQ560G.Count","OHQ560G.Cumulative","OHQ560G.Skip.to.Item"
"1","Enter age",2596,2596,""
"2","Has not started brushing teeth",18,2614,"OHQ566"
"7","Refused",0,2614,"OHQ566"
"9","Don't know",5,2619,"OHQ566"
".","Missing",6956,9575,""
