"SMD100MN.Code.or.Value","SMD100MN.Value.Description","SMD100MN.Count","SMD100MN.Cumulative","SMD100MN.Skip.to.Item"
"0","Non-menthol",867,867,NA
"1","Menthol",404,1271,NA
".","Missing",6257,7528,NA
