"LBCTNA.Code.or.Value","LBCTNA.Value.Description","LBCTNA.Count","LBCTNA.Cumulative","LBCTNA.Skip.to.Item"
"6.787 to 653.1","Range of Values",299,299,NA
".","Missing",2,301,NA
