"BMXARMC.Code.or.Value","BMXARMC.Value.Description","BMXARMC.Count","BMXARMC.Cumulative","BMXARMC.Skip.to.Item"
"11.2 to 56.3","Range of Values",8173,8173,NA
".","Missing",531,8704,NA
