"WTSPO30.Code.or.Value","WTSPO30.Value.Description","WTSPO30.Count","WTSPO30.Cumulative","WTSPO30.Skip.to.Item"
"0.0000000 to 835020.2824100","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
