"DXXSMY.Code.or.Value","DXXSMY.Value.Description","DXXSMY.Count","DXXSMY.Cumulative","DXXSMY.Skip.to.Item"
"48.3 to 234.1","Range of Values",3195,3195,NA
".","Missing",513,3708,NA
