"RHQ380.Code.or.Value","RHQ380.Value.Description","RHQ380.Count","RHQ380.Cumulative","RHQ380.Skip.to.Item"
"1","Yes",179,179,""
"2","No",1292,1471,"RHQ395"
"7","Refused",0,1471,"RHQ395"
"9","Don't know",8,1479,"RHQ395"
".","Missing",2118,3597,""
