"DUQ370.Code.or.Value","DUQ370.Value.Description","DUQ370.Count","DUQ370.Cumulative","DUQ370.Skip.to.Item"
"1","Yes",113,113,""
"2","No",4004,4117,"DUQ425"
"7","Refused",1,4118,"DUQ425"
"9","Don't know",10,4128,"DUQ425"
".","Missing",497,4625,""
