"TYXP013.Code.or.Value","TYXP013.Value.Description","TYXP013.Count","TYXP013.Cumulative","TYXP013.Skip.to.Item"
"22 to 199","Range of Values",8469,8469,NA
".","Missing",0,8469,NA
