"TBQ025.Code.or.Value","TBQ025.Value.Description","TBQ025.Count","TBQ025.Cumulative","TBQ025.Skip.to.Item"
"1","Yes",13,13,NA
"2","No",198,211,NA
"7","Refused",0,211,NA
"9","Don't know",3,214,NA
".","Missing",7947,8161,NA
