"AUXRR181.Code.or.Value","AUXRR181.Value.Description","AUXRR181.Count","AUXRR181.Cumulative","AUXRR181.Skip.to.Item"
"-6 to 62","Range of Values",1772,1772,NA
".","Missing",117,1889,NA
