"LBDP3.Code.or.Value","LBDP3.Value.Description","LBDP3.Count","LBDP3.Cumulative","LBDP3.Skip.to.Item"
"4 to 100","Range of Values",1321,1321,NA
".","Missing",186,1507,NA
