"LBDPFHPL.Code.or.Value","LBDPFHPL.Value.Description","LBDPFHPL.Count","LBDPFHPL.Cumulative","LBDPFHPL.Skip.to.Item"
"0","At or above the detection limit",457,457,NA
"1","Below lower detection limit",1776,2233,NA
".","Missing",199,2432,NA
