"DRD350AQ.Code.or.Value","DRD350AQ.Value.Description","DRD350AQ.Count","DRD350AQ.Cumulative","DRD350AQ.Skip.to.Item"
"1 to 15","Range of Values",356,356,NA
".","Missing",9406,9762,NA
