"LBDOL1LC.Code.or.Value","LBDOL1LC.Value.Description","LBDOL1LC.Count","LBDOL1LC.Cumulative","LBDOL1LC.Skip.to.Item"
"0","At or above the detection limit",4405,4405,NA
"1","Below lower detection limit",0,4405,NA
".","Missing",1238,5643,NA
