"DSQIKCAL.Code.or.Value","DSQIKCAL.Value.Description","DSQIKCAL.Count","DSQIKCAL.Cumulative","DSQIKCAL.Skip.to.Item"
"1.25 to 560","Range of Values",2089,2089,NA
".","Missing",6311,8400,NA
